Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antimicrobial Humoral Response (GO:0019730)	39/147	2.4074163386331226E-40	4.5740910434029327E-38	0	0	32.22588383838384	2939.801406576464	CCL14;APP;CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL1;CXCL13;CXCL3;CXCL14;CX3CL1;CXCL5;LGALS3;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;PGLYRP1;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;TSLP;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;XCL1;CCL28;CCL27;PF4
Granulocyte Chemotaxis (GO:0071621)	30/64	4.58938889287586E-40	7.993185655092122E-38	0	0	75.93244284613408	6877.934616280881	CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL13;CXCL3;TREM1;CX3CL1;CXCL5;LGALS3;CCL7;CCL5;BSG;CCL4;CCL3;CCL2;CCL19;CCL16;CCL25;CCL24;TGFB2;CCL21;PPBP;VEGFA;CXCL10;XCL1;CCL28;CCL27;PF4
Positive Regulation of Cell Motility (GO:2000147)	45/249	1.907851391263847E-38	3.067238005954954E-36	0	0	20.13846893897746	1749.071456734667	CCL14;CCL13;CSF1R;CCL11;FLT1;CSF1;PDGFB;FGF1;CX3CL1;VSIR;EGFR;CXCL16;GPNMB;CCL7;PLAU;CCL5;CCL4;KDR;CCL3;CCL2;CCL19;CCL18;CCL16;CCL15;CCL25;CCL24;CCL23;TGFB1;MMP7;CCL21;EGF;ADAM10;IGF1;F3;TGFBR1;VEGFA;IL4;ADAM17;BMP2;CXCL12;IL1B;KIT;ANGPTL3;ADAM9;XCL1
Regulation of Cell Migration (GO:0030334)	54/479	4.403920840079986E-35	6.574424682690836E-33	0	0	11.972040172166427	947.0839505424786	FLT1;CSF1;FGF1;CX3CL1;VSIR;CXCL16;FGF4;FGF6;FGF7;FGF9;PLAU;KDR;MMP7;ADIPOQ;ADAM10;F3;TGFBR1;TGFBR3;ADAM17;IL1B;KIT;ANGPTL3;ADAM9;XCL1;ENG;CCL14;CCL13;CSF1R;CCL11;PDGFB;EGFR;GPNMB;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CCL16;CCL15;FGF21;CCL25;CCL24;CCL23;TGFB1;CCL21;EGF;IGF1;VEGFA;IL4;BMP2;CXCL12;FGF19
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	36/162	3.0939308190054822E-34	4.310876941147639E-32	0	0	25.13132607303011	1939.0941855812466	APP;CSF1R;CSF3;FLT1;FLT3;PDGFB;TREM2;TNF;CX3CL1;EGFR;THPO;CCL5;KDR;CCL3;CCL19;TGFB2;TGFB1;ANGPT1;CCL21;IL1R1;EGF;GDF15;IL18;IGF1;DCN;TGFBR1;VEGFA;GH1;IL1B;LEP;KIT;CHI3L1;TEK;GAS6;FGFR3;ENG
Regulation of T Cell Proliferation (GO:0042129)	28/83	1.7096105225204346E-32	2.2331787450423177E-30	0	0	43.385123966942146	3173.468121861393	CD86;IL21;CD274;CD80;IL27;LGALS3;GPNMB;CCL5;IL12B;TNFRSF14;CCL19;CD276;IL10;TNFSF18;VCAM1;IL15;CD70;PDCD1LG2;TNFRSF1B;IL4;IL6;CD40LG;IL23A;CD209;IL1B;CLCF1;LEP;TNFRSF21
Regulation of Inflammatory Response (GO:0050727)	40/249	4.396667574976595E-32	5.405314842177108E-30	0	0	17.069323370693233	1232.4371709706966	IL21;APP;IL22;CXCL17;TNF;CX3CL1;LGALS3;IL1RL2;LGALS1;CCL5;CCL3;CCN4;IL12B;ELANE;IL10;IL33;TGFB1;TSLP;IL1R1;IL15;CMA1;IL13;ADIPOQ;WNT5A;MMP3;IL18;IL16;TNFRSF1B;SELE;MMP9;IL2;TNFRSF1A;IL4;IL6;IFNG;IL23A;IL1B;XCL1;TEK;TLR2
Positive Regulation of Lymphocyte Proliferation (GO:0050671)	27/77	6.686056201671692E-32	7.763254145274354E-30	0	0	45.8325	3289.9805419247855	CD86;IL21;CD274;CD80;TNFSF13B;CCL5;IL12B;IL12A;CCL19;TNFRSF4;CD276;VCAM1;IL15;CD70;TNFSF13;IL18;PDCD1LG2;IL2;IL4;IL6;CD40LG;IL23A;CD209;IL7;IL1B;CLCF1;LEP
Chemokine-Mediated Signaling Pathway (GO:0070098)	23/47	1.7311359800800344E-31	1.9042495780880379E-29	0	0	80.06550141242938	5671.148358440812	CCL14;CCL25;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL21;CX3CL1;CXCL10;CXCL11;CXCL12;CCL7;THPO;CCL5;CCL4;CCL3;CCL2;XCL1;CCL19;CCL18;CCL16;CCL15
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	45/355	1.977240160185701E-31	2.0662159673940576E-29	0	0	13.180509496533011	931.8414053604015	APP;CNTF;CSF2;CXCL8;CSF1;PDGFB;TREM2;AREG;TNF;VSIR;IFNL1;CCL3;CCL2;LGALS9;CCL19;IL32;IL33;TGFB2;TGFB1;CCL21;ANGPT1;WNT3A;EGF;IL13;WNT5A;IGF1;INHBA;NGF;F3;BMP7;BMP6;TGFBR1;VEGFA;BMP4;IL4;TGFBR3;IL1A;BMP2;IL6;GDNF;IFNG;IL1B;GAS6;TLR2;PF4
Positive Regulation of T Cell Proliferation (GO:0042102)	25/65	8.12260645873492E-31	8.083927380359992E-29	0	0	52.62019230769231	3645.8156389005244	CD86;IL21;CD274;CD80;EBI3;CCL5;IL12B;CCL19;IL12RB1;ICOSLG;CD276;VCAM1;IL15;CD70;IL18;PDCD1LG2;IGF1;IL2;IL4;IL6;CD40LG;IL23A;CD209;IL1B;LEP
Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)	32/153	1.3337189351485227E-29	1.2670329883910967E-27	0	0	22.857975024574944	1519.7581046519679	APP;CSF1R;CXCL17;PDGFB;TREM2;FGF1;TNF;CX3CL1;EGFR;FGF4;ICAM1;THPO;GPNMB;KDR;CCL3;LGALS9;CCL19;FGF21;SLAMF1;TGFB1;ANGPT1;CCL21;NRG1;IGF1;VEGFA;BMP2;FGF19;IL1B;CHI3L1;TEK;GAS6;FGFR3
Positive Regulation of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	24/63	1.6770805514494408E-29	1.5239558054475352E-27	0	0	51.59279869067103	3418.4311764667614	IL21;TNFSF18;IL11;CSF1R;CNTF;TGFB1;ANGPT1;FLT3;IL15;CD80;TNFRSF18;IL18;LIF;NRG1;VEGFA;IL3;FGF7;IL6;IFNL1;IL5;IFNG;KIT;IL12A;FGFR3
Cellular Response to Cytokine Stimulus (GO:0071345)	40/289	1.78494415123312E-29	1.5297735251076448E-27	0	0	14.29792228273826	946.4592664493088	CSF1R;CSF3;CSF2;CXCL8;FLT3;IL1RAP;CX3CL1;IL22RA2;IL36A;CCL5;CCL3;CCL2;LGALS9;IL12RB1;IL6R;IL4R;TSLP;CCL21;IFNB1;IL10RB;WNT5A;IL18;IL16;F3;TNFRSF1A;MMP12;IL1A;GH1;IL6;CXCL12;IL7;IL1B;CLCF1;KIT;CHI3L1;XCL1;GAS6;TNFRSF21;TLR2;PF4
Cell Surface Receptor Signaling Pathway via STAT (GO:0097696)	23/55	1.8298726376885705E-29	1.5297735251076448E-27	0	0	60.024761652542374	3971.8817761672817	CNTF;CSF2;TSLP;IFNB1;IFNA2;LIF;IGF1;TNF;IL2;TNFRSF1A;IL4;GH1;IL3;IL6;IFNG;THPO;IL23A;CCL5;CLCF1;LEP;IL12B;IL6R;FGFR3
Cellular Response to Chemokine (GO:1990869)	22/48	2.4218150776112348E-29	1.946766735464416E-27	0	0	70.38786108406362	4637.887869924306	CCL14;CCL25;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL21;CX3CL1;CXCL10;CXCL11;CXCL12;CCL7;CCL5;CCL4;CCL3;CCL2;XCL1;CCL19;CCL18;CCL16;CCL15
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	36/219	2.7356399216181786E-29	2.1175879393266642E-27	0	0	17.253252958906124	1134.7223324654733	APP;CSF1R;CSF3;FLT1;FLT3;PDGFB;TREM2;TNF;CX3CL1;EGFR;THPO;CCL5;KDR;CCL3;CCL19;TGFB2;TGFB1;CCL21;ANGPT1;IL1R1;GDF15;EGF;IL18;IGF1;DCN;TGFBR1;VEGFA;GH1;IL1B;LEP;KIT;CHI3L1;TEK;GAS6;FGFR3;ENG
Positive Regulation of Response to External Stimulus (GO:0032103)	32/163	1.139053477587601E-28	8.502220600564593E-27	0	0	21.102330430103912	1357.7700478132451	IL21;APP;CNTF;PDGFB;TREM2;TNF;CX3CL1;LGALS3;THBD;LGALS1;PLAU;CCL5;CCL3;CCN4;IL12B;CCL19;IL33;TGFB1;TSLP;CCL21;IL15;IFNB1;WNT5A;IL18;IL16;BMP6;IL2;TNFRSF1A;IFNG;IL23A;IL1B;TLR2
Regulation of ERK1 and ERK2 Cascade (GO:0070372)	35/223	8.91845935190668E-28	6.427441394994815E-26	0	0	16.250831117021278	1012.1709806046562	APP;CSF1R;PDGFB;CXCL17;TREM2;FGF1;TNF;CX3CL1;EGFR;ICAM1;FGF4;GPNMB;THPO;KDR;CCL3;LGALS9;CCL19;SLAMF1;FGF21;TGFB1;CCL21;ANGPT1;ADIPOQ;NRG1;IGF1;VEGFA;TGFBR3;IL1A;BMP2;IL1B;FGF19;CHI3L1;TEK;GAS6;FGFR3
Regulation of MAPK Cascade (GO:0043408)	37/260	9.592624539779235E-28	6.682861762712867E-26	0	0	14.58744394618834	907.5051363986299	APP;CSF1R;FLT1;FLT3;PDGFB;FGF1;TNF;CX3CL1;EGFR;FGF4;FGF6;FGF7;FGF9;THPO;KDR;LGALS9;IGFBP6;IL6R;FGF21;IL11;TGFB1;GDF15;EGF;WNT5A;LIF;IGF1;VEGFA;TGFBR3;IL1A;BMP2;IL6;IL1B;FGF19;LEP;KIT;TEK;FGFR3
Positive Regulation of Gene Expression (GO:0010628)	45/436	1.5129342393816733E-27	1.0200105033250636E-25	0	0	10.406458398068695	642.6586072175128	IL21;APP;CNTF;CSF2;CXCL8;CSF1;PDGFB;TREM2;AREG;TNF;VSIR;CCL3;CCL2;LGALS9;IL10;IL32;IL33;TGFB1;ANGPT1;IL15;WNT3A;EGF;IL13;WNT5A;IGF1;INHBA;NGF;F3;BMP7;BMP6;TGFBR1;VEGFA;BMP4;IL4;TGFBR3;IL1A;BMP2;IL6;GDNF;IFNG;IL1B;IL17F;GAS6;TLR2;PF4
Response to Lipopolysaccharide (GO:0032496)	30/161	3.238056141658613E-26	2.1148554175207816E-24	0	0	19.61065368845628	1150.9931776290507	CD86;CD274;CXCL6;CXCL9;CXCL8;CD80;CXCL13;CXCL5;IL36A;CCL2;IL12A;LGALS9;IL10;WNT5A;MMP3;IL18;PPBP;PDCD1LG2;TNFRSF1B;SELE;MMP9;CXCL10;IL1A;ADAM17;IL6;IL1B;ADAM9;CCL28;CCL27;PF4
Cellular Response to Molecule of Bacterial Origin (GO:0071219)	27/123	1.0214228233216182E-25	6.469011214370249E-24	0	0	23.815328663793103	1370.4157156280492	CD86;CD274;CXCL6;CXCL9;CXCL8;CD80;CXCL13;CXCL5;IL36A;CCL2;IL10;WNT5A;MMP3;IL18;PPBP;PDCD1LG2;TNFRSF1B;MMP9;CXCL10;IL1A;IL6;IL1B;ADAM9;CCL28;CCL27;TLR2;PF4
Positive Regulation of Multicellular Organismal Process (GO:0051240)	41/407	1.0315989384026735E-24	6.341299356651728E-23	0	0	9.956071088384219	549.8830879171438	IL21;APP;PDGFB;TREM2;TNF;GPNMB;IL12B;FGF21;IL10;IL33;TGFB2;IL4R;TGFB1;ANGPT1;IL15;TGFB3;EGF;IL13;ADIPOQ;WNT5A;IL18;INHBA;IL2;TGFBR1;VEGFA;TGFBR2;BMP4;IL4;IL1A;GH1;BMP2;IL6;CXCL12;GDNF;IFNG;IL23A;IL1B;LEP;LCN2;IL17F;GAS6
Cellular Response to Lipopolysaccharide (GO:0071222)	26/125	3.752845759475774E-24	2.2409850392298193E-22	0	0	22.139506654528113	1194.1945349021569	CD86;CD274;CXCL6;CXCL9;CXCL8;CD80;CXCL13;CXCL5;IL36A;CCL2;IL10;WNT5A;MMP3;IL18;PPBP;PDCD1LG2;TNFRSF1B;MMP9;CXCL10;IL1A;IL6;IL1B;ADAM9;CCL28;CCL27;PF4
Eosinophil Chemotaxis (GO:0048245)	14/19	2.873425064501416E-23	1.623096860758908E-21	0	0	225.55428571428573	11707.158913472515	CCL25;CCL13;CCL24;CCL11;CCL21;CX3CL1;LGALS3;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL16
Eosinophil Migration (GO:0072677)	14/19	2.873425064501416E-23	1.623096860758908E-21	0	0	225.55428571428573	11707.158913472515	CCL25;CCL13;CCL24;CCL11;CCL21;CX3CL1;LGALS3;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL16
Positive Regulation of Protein Phosphorylation (GO:0001934)	28/171	6.579675885403113E-23	3.618821736971712E-21	0	0	16.61199406653952	848.4654320333253	CSF1R;CD80;PDGFB;TNF;EGFR;FGF7;THPO;GPNMB;KDR;CCL19;IL11;TGFB1;ANGPT1;IL15;EGF;ADIPOQ;LIF;PLAUR;MMP9;VEGFA;BMP4;IL3;BMP2;IL6;IL5;FGF19;CHI3L1;GAS6
Regulation of Interleukin-6 Production (GO:0032675)	24/114	1.6548427904319056E-22	8.86826008205816E-21	0	0	22.299007092198583	1118.3658050488534	IL10;APP;IL33;TGFB1;TSLP;WNT5A;TREM2;IL16;TNF;CX3CL1;IL1A;IL6;IFNG;GPNMB;IL1B;LEP;BSG;IL17F;LGALS9;GAS6;IL17D;IL6R;SLAMF1;TLR2
Regulation of Chemokine Production (GO:0032642)	17/43	1.4878554978888489E-21	7.774044976469235E-20	0	0	53.26684678957406	2554.5155684866686	APP;CSF1R;IL33;TSLP;WNT5A;IL18;TREM2;TNF;C5;ADAM17;IL6;IFNG;IL7;LGALS9;IL6R;ELANE;TLR2
Cellular Response to Lipid (GO:0071396)	30/234	2.7237403850991202E-21	1.3884432694773564E-19	0	0	12.546236835345493	594.092930559427	CD86;CD274;CXCL6;CXCL9;CXCL8;CD80;TREM2;CXCL13;AREG;EGFR;CXCL5;IL36A;CCL2;IL10;WNT3A;WNT5A;MMP3;IL18;PPBP;PDCD1LG2;TNFRSF1B;MMP9;IL1A;CXCL10;IL6;IL1B;ADAM9;CCL28;CCL27;PF4
Positive Regulation of Chemokine Production (GO:0032722)	18/54	3.697503820016325E-21	1.839948329484314E-19	0	0	40.88174273858921	1923.3481836650096	APP;CSF1R;IL33;TGFB1;TSLP;ADIPOQ;WNT5A;IL18;TNF;C5;IL6;IFNG;IL7;IL1B;IL17F;LGALS9;IL6R;TLR2
Positive Regulation of Inflammatory Response (GO:0050729)	23/115	4.503411470155394E-21	2.1590661290287212E-19	0	0	20.814618644067796	975.1534716275253	IL21;APP;IL33;TGFB1;TSLP;IL15;WNT5A;IL18;IL16;TNF;IL2;CX3CL1;TNFRSF1A;LGALS3;IL6;LGALS1;IFNG;IL23A;IL1B;CCL3;CCN4;IL12B;TLR2
Positive Regulation of Defense Response (GO:0031349)	24/130	4.545402376902571E-21	2.1590661290287212E-19	0	0	18.917703733440387	886.1084720770467	IL21;APP;IL33;TGFB1;TSLP;IL15;IFNB1;WNT5A;IL18;IL16;TNF;IL2;CX3CL1;TNFRSF1A;LGALS3;LGALS1;IFNG;IL23A;IL1B;CCL5;CCL3;CCN4;IL12B;TLR2
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	18/56	7.91592341689514E-21	3.6765066536246313E-19	0	0	38.726141078838175	1792.455340774055	APP;CSF1R;CSF1;CXCL17;VEGFC;VEGFD;PGF;VEGFA;CXCL10;IL6;CXCL12;CCL5;XCL1;CCL2;IL12A;LGALS9;GAS6;IL6R
Regulation of Angiogenesis (GO:0045765)	28/211	2.3988984391571995E-20	1.0899342908344666E-18	0	0	12.954462659380692	585.2397723292057	ECM1;CXCL8;FLT1;FASLG;CXCL13;FGF1;GPNMB;ADAMTS1;KDR;TGFB2;TNFSF12;WNT5A;GDF2;F3;DCN;VEGFA;IL1A;CXCL10;IL6;GDNF;IL1B;LEP;ANGPTL3;CHI3L1;IL17F;ANGPTL4;TEK;PF4
Positive Regulation of T Cell Activation (GO:0050870)	22/111	4.094336025795418E-20	1.820672828492005E-18	0	0	20.497036931683496	915.030717032812	CD86;IL21;CD274;VCAM1;IL15;CD70;CD80;PDCD1LG2;IL4;IL6;CD40LG;IL23A;CD209;IL7;IL1B;CCL5;LEP;IL12B;CCL2;LGALS9;CCL19;CD276
Neutrophil Chemotaxis (GO:0030593)	16/43	7.615972732293982E-20	3.316121460519671E-18	0	0	48.075598231976834	2116.357742952645	CXCL6;CXCL9;TGFB2;CXCL8;PPBP;CXCL13;CXCL3;TREM1;CXCL5;LGALS3;CXCL10;CCL3;XCL1;CCL28;CCL27;PF4
Myeloid Leukocyte Differentiation (GO:0002573)	19/74	7.927414148807823E-20	3.3812848104098676E-18	0	0	28.33590909090909	1246.2522426178605	CSF1R;IL33;CSF3;CSF2;CSF1;IL15;LIF;TREM2;MMP9;TGFBR2;VEGFA;BMP4;IL4;IL1RL1;BMP2;IFNG;KIT;LGALS9;CCL19
Cellular Response to Oxygen-Containing Compound (GO:1901701)	35/384	9.248926707069158E-20	3.866051363554908E-18	0	0	8.681948424068768	380.50544089018234	CD86;APP;CD274;CXCL6;CXCL9;CXCL8;CD80;PDGFB;TREM2;CXCL13;EGFR;CXCL5;ICAM1;IL36A;CCL2;IL10;VCAM1;WNT3A;WNT5A;MMP3;IL18;PPBP;IGF1;PDCD1LG2;TNFRSF1B;MMP9;IL1A;CXCL10;IL6;IL1B;ADAM9;CCL28;CCL27;TLR2;PF4
Regulation of Tumor Necrosis Factor Production (GO:0032680)	23/131	1.0203714558187123E-19	4.181522240511978E-18	0	0	17.716533270558696	774.7253981553507	IL10;APP;IL33;TGFB1;ADIPOQ;WNT5A;IGF1;CX3CL1;VSIR;IL4;IL1A;IL6;IFNG;IL23A;CCL3;IL12B;IL17F;LGALS9;CCL19;GAS6;SLAMF1;TLR2;PF4
Regulation of Smooth Muscle Cell Proliferation (GO:0048660)	17/54	1.4680049862185047E-19	5.900250809993606E-18	0	0	37.40987268259995	1622.287076237805	TGFB1;IGFBP3;IL18;PDGFB;IGF1;TNF;CX3CL1;BMP4;BMP2;IL6;IFNG;CCL5;CCN4;IL12B;IL12A;IL6R;ELANE
Mononuclear Cell Differentiation (GO:1903131)	16/46	2.7510257543529815E-19	1.0848384578486285E-17	0	0	43.26145404663923	1848.8709446555138	CSF1R;IL33;CSF2;CSF1;FLT3;IL15;LIF;FLT3LG;TREM2;MMP9;VEGFA;BMP4;IL4;IL1RL1;IFNG;GAS6
Cell Surface Receptor Signaling Pathway via JAK-STAT (GO:0007259)	16/47	4.123234640843091E-19	1.5958445184003816E-17	0	0	41.86379928315412	1772.1983958324747	IL21;CNTF;CSF2;TSLP;IFNB1;IL15;TNF;TNFRSF1A;IL4;GH1;IL6;IFNG;IL23A;CLCF1;IL12B;FGFR3
Neutrophil Migration (GO:1990266)	16/50	1.3047358737957704E-18	4.9579963204239275E-17	0	0	38.16412490922295	1571.6189307883415	CXCL6;CXCL9;TGFB2;CXCL8;PPBP;CXCL13;CXCL3;TREM1;CXCL5;LGALS3;CXCL10;CCL3;XCL1;CCL28;CCL27;PF4
