Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ras signaling pathway	31/232	1.6102568910544444E-22	1.7820176261002516E-21	0	0	13.217683512263244	663.2696809269511	CSF1R;FLT1;CSF1;FLT3;PDGFB;FASLG;FGF1;FGF2;EGFR;FGF4;FGF6;FGF7;FGF9;KDR;FGF21;ANGPT1;EGF;HGF;FLT3LG;VEGFC;VEGFD;IGF1;NGF;PGF;VEGFA;KITLG;FGF19;KIT;TEK;FGFR3;MET
Lipid and atherosclerosis	30/215	2.219346556852298E-22	2.3025720527342592E-21	0	0	13.84822376962115	690.4677181920405	CXCL8;IFNA2;CXCL1;FASLG;CXCL3;TNF;ICAM1;CCL5;TNFSF10;CCL3;IL12B;OLR1;CCL2;IL12A;CD14;VCAM1;IFNB1;MMP1;MMP3;IL18;TNFRSF10A;SELE;MMP9;TNFRSF1A;IL6;CD40LG;IL1B;FAS;CYCS;TLR2
Chagas disease	22/102	5.708184434473796E-21	5.573874212486178E-20	0	0	22.813396624472574	1063.386848112552	IL10;TGFB2;TGFB1;CXCL8;TGFB3;IFNB1;FASLG;TNF;IL2;TGFBR1;TGFBR2;TNFRSF1A;IL6;IFNG;IL1B;CCL5;CCL3;IL12B;CCL2;FAS;IL12A;TLR2
Rap1 signaling pathway	28/210	2.1041935030972214E-20	1.940534008411882E-19	0	0	13.026307026307027	590.1929174878439	CSF1R;FLT1;CSF1;PDGFB;FGF1;FGF2;EGFR;FGF4;FGF6;FGF7;FGF9;KDR;FGF21;ANGPT1;EGF;HGF;VEGFC;VEGFD;IGF1;NGF;PGF;VEGFA;KITLG;FGF19;KIT;TEK;FGFR3;MET
NF-kappa B signaling pathway	20/104	4.075866459838408E-18	3.561020170174609E-17	0	0	19.58258617254433	784.1151122316231	CCL13;VCAM1;CXCL8;CCL21;IL1R1;CXCL1;CXCL3;TNF;ICAM1;TNFSF13B;TNFRSF1A;CXCL12;CD40LG;PLAU;IL1B;CCL4;LTA;CD14;CCL19;LTBR
Th17 cell differentiation	20/107	7.374251003782479E-18	6.120628333139458E-17	0	0	18.904438993892175	745.752467459762	IL21;IL22;IL4R;TGFB1;IL1R1;IL1RAP;IL2;TGFBR1;TGFBR2;IL4;IL6;IFNG;IL23A;IL1B;IL2RA;IL17F;IL12RB1;IL17D;IL6R;IL17A
Allograft rejection	14/38	1.9213432128758622E-17	1.5187760635113959E-16	0	0	46.945238095238096	1806.9655001152069	CD86;IL10;CD80;GZMB;FASLG;TNF;IL2;IL4;CD40LG;IL5;IFNG;IL12B;FAS;IL12A
AGE-RAGE signaling pathway in diabetic complications	19/100	3.6342375225841965E-17	2.742197403404439E-16	0	0	19.21502057613169	727.3566893241651	TGFB2;TGFB1;VCAM1;CXCL8;TGFB3;VEGFC;VEGFD;TNF;SELE;F3;TGFBR1;ICAM1;TGFBR2;VEGFA;THBD;IL1A;IL6;IL1B;CCL2
Toll-like receptor signaling pathway	19/104	7.882462479761173E-17	5.68908161582763E-16	0	0	18.307058823529413	678.8130402592452	CD86;CXCL9;CXCL8;IFNB1;CD80;IFNA2;TNF;CXCL10;CXCL11;IL6;IL1B;CCL5;CCL4;CCL3;SPP1;IL12B;IL12A;CD14;TLR2
African trypanosomiasis	13/37	5.753821529062409E-16	3.9797265576014995E-15	0	0	43.41480352303523	1523.4904580082223	IL10;VCAM1;IL18;FASLG;TNF;SELE;ICAM1;IL6;IFNG;IL1B;IL12B;FAS;IL12A
Influenza A	22/172	7.1281862577794205E-16	4.733115675165535E-15	0	0	12.123825597749649	422.846359110013	IL33;CXCL8;IFNB1;IFNA2;IL18;TNFRSF10A;FASLG;TNF;ICAM1;TNFRSF1A;CXCL10;IL1A;IL6;IFNG;IL1B;CCL5;TNFSF10;IL12B;CYCS;CCL2;FAS;IL12A
Amoebiasis	18/102	9.95664219029509E-16	6.356933090726865E-15	0	0	17.47806757557795	603.7470136423062	IL10;TGFB2;CSF2;TGFB1;CXCL8;IL1R1;TGFB3;IL1R2;CXCL1;CXCL3;TNF;IL6;IFNG;IL1B;IL12B;IL12A;CD14;TLR2
Type I diabetes mellitus	13/43	5.514447035024493E-15	3.390363732644688E-14	0	0	34.72127371273713	1139.948199825481	CD86;CD80;GZMB;FASLG;TNF;IL2;IL1A;IFNG;IL1B;LTA;IL12B;FAS;IL12A
Tuberculosis	21/180	2.1596157401656587E-14	1.2803436173839264E-13	0	0	10.866814650388458	341.93802596382574	IL10;TGFB2;TGFB1;TGFB3;IFNB1;IL10RB;IFNA2;IL18;TNF;TNFRSF1A;IL1A;IL6;IFNG;IL23A;CD209;IL1B;IL12B;CYCS;IL12A;CD14;TLR2
Gastric cancer	19/149	7.571450580908032E-14	4.334002746312874E-13	0	0	11.942596153846154	360.8074056662924	TGFB2;TGFB1;TGFB3;WNT3A;EGF;HGF;WNT5A;FGF1;FGF2;TGFBR1;EGFR;FGF4;TGFBR2;FGF6;FGF7;FGF9;FGF19;MET;FGF21
Coronavirus disease	22/232	3.769442365737396E-13	2.085758109041359E-12	0	0	8.63335342575849	246.9715712838302	CSF3;CSF2;CXCL8;IFNB1;MMP1;IFNA2;MMP3;TNF;EGFR;IL2;TNFRSF1A;CXCL10;C5;ADAM17;IL6;IL1B;IL12B;CCL2;IL12A;IL6R;TLR2;MBL2
Melanoma	14/72	4.016789888108181E-13	2.150926198148252E-12	0	0	19.392118226600985	553.5116188865413	EGF;HGF;PDGFB;IGF1;FGF1;FGF2;EGFR;FGF4;FGF6;FGF7;FGF9;FGF19;MET;FGF21
Human cytomegalovirus infection	21/225	1.794739378475627E-12	9.310210525842315E-12	0	0	8.450259515570934	228.54708186453857	CXCL8;IL1R1;IFNB1;IL10RB;IFNA2;FASLG;TNF;CX3CL1;EGFR;VEGFA;TNFRSF1A;IL6;CXCL12;IL1B;CCL5;CCL4;CCL3;FAS;CYCS;CCL2;IL6R
Proteoglycans in cancer	20/205	2.7117430540825524E-12	1.3640889302354657E-11	0	0	8.845866787289381	235.59576939620385	TGFB2;TGFB1;WNT3A;HGF;WNT5A;PLAUR;FASLG;IGF1;FGF2;TNF;MMP9;EGFR;DCN;VEGFA;PLAU;KDR;IL12B;FAS;MET;TLR2
Fluid shear stress and atherosclerosis	17/139	3.2052436950310327E-12	1.5649130981622103E-11	0	0	11.2966738924265	298.98040327787726	VCAM1;IL1R1;IL1R2;PDGFB;TNF;SELE;MMP9;ICAM1;TNFRSF1A;VEGFA;BMP4;THBD;IL1A;IFNG;IL1B;KDR;CCL2
Graft-versus-host disease	11/42	4.169772773685237E-12	1.9776636583764266E-11	0	0	28.20109261186264	738.9577298225659	CD86;IL1A;IL6;IFNG;CD80;IL1B;GZMB;FAS;FASLG;TNF;IL2
Calcium signaling pathway	21/240	6.233232023760088E-12	2.8742125442893736E-11	0	0	7.865431103948429	202.9369800092224	FLT1;EGF;HGF;PDGFB;VEGFC;VEGFD;FGF1;NGF;FGF2;EGFR;VEGFA;FGF4;FGF6;FGF7;FGF9;GDNF;FGF19;KDR;FGFR3;MET;FGF21
Legionellosis	12/57	7.272650562055973E-12	3.2628648467602476E-11	0	0	21.264237516869095	545.3617795894891	IL6;CXCL8;IL1B;IL18;IL12B;CYCS;CXCL1;IL12A;CD14;CXCL3;TNF;TLR2
Transcriptional misregulation in cancer	19/192	7.536217913395306E-12	3.2921372990095286E-11	0	0	8.954527938342967	229.33710732191022	CD86;CSF1R;CSF2;CXCL8;FLT1;FLT3;IGFBP3;IL1R2;MMP3;GZMB;IGF1;MMP9;TGFBR2;IL3;IL6;PLAU;CD14;MET;ELANE
Pertussis	13/76	1.576423093917653E-11	6.709903425393087E-11	0	0	16.506258872112532	410.56475917774566	IL10;CXCL6;CXCL8;TNF;CXCL5;IL1A;C5;IL6;IL23A;IL1B;IL12B;IL12A;CD14
Autoimmune thyroid disease	11/53	6.54877925866014E-11	2.7177433923439583E-10	0	0	20.803475422427034	487.823968885711	CD86;IL10;IL4;CD40LG;IL5;CD80;IFNA2;GZMB;FAS;FASLG;IL2
Asthma	9/31	1.40117524542391E-10	5.673050993667538E-10	0	0	32.26745454545455	732.1014197440672	IL10;IL4;IL3;CCL11;CD40LG;IL5;IL13;IL9;TNF
TGF-beta signaling pathway	13/94	2.5288335527474795E-10	9.994913565620991E-10	0	0	12.826457894208572	283.4402565831944	TGFB2;TGFB1;TGFB3;INHBA;TNF;BMP7;DCN;TGFBR1;BMP6;TGFBR2;BMP4;BMP2;IFNG
Leishmaniasis	12/77	3.005202015859354E-10	1.1601477549596578E-9	0	0	14.706446589847399	322.44628496853574	IL10;IL4;IL1A;TGFB2;TGFB1;IFNG;TGFB3;IL1B;IL12B;IL12A;TNF;TLR2
Measles	15/139	3.7625376973639404E-10	1.4195028585509413E-9	0	0	9.725508989952406	211.05091002205486	IFNB1;IFNA2;FASLG;IL2;IL1A;IL6;CD209;IL1B;IL2RA;IL12B;CYCS;FAS;IL12A;SLAMF1;TLR2
Human T-cell leukemia virus 1 infection	18/219	5.846942452839069E-10	2.1568721048250786E-9	0	0	7.260791478293181	154.3639335518621	TGFB2;CSF2;TGFB1;MMP7;IL1R1;IL15;TGFB3;IL1R2;TNF;IL2;TGFBR1;ICAM1;TGFBR2;TNFRSF1A;IL6;IL2RA;LTA;LTBR
Osteoclast differentiation	14/127	1.1063074865012844E-9	3.992327016504635E-9	0	0	9.92566371681416	204.68939903697154	CSF1R;TGFB2;TGFB1;CSF1;IL1R1;IFNB1;TREM2;TNF;TGFBR1;TGFBR2;TNFRSF1A;IL1A;IFNG;IL1B
Toxoplasmosis	13/112	2.3201205386402085E-9	8.194468285410098E-9	0	0	10.484766362815144	208.4544205188191	IL10;TGFB2;TGFB1;TGFB3;IL10RB;TNF;TNFRSF1A;CD40LG;IFNG;IL12B;CYCS;IL12A;TLR2
Hepatitis B	15/162	3.220174929362616E-9	1.1136438297379047E-8	0	0	8.194212111073938	160.22823185740427	TGFB2;TGFB1;CXCL8;TGFB3;IFNB1;IFNA2;FASLG;TNF;MMP9;TGFBR1;TGFBR2;IL6;CYCS;FAS;TLR2
Breast cancer	14/147	7.561553217017421E-9	2.5616690490303917E-8	0	0	8.424489795918367	157.53955323084713	WNT3A;EGF;WNT5A;IGF1;FGF1;FGF2;EGFR;FGF4;FGF6;FGF7;FGF9;FGF19;KIT;FGF21
Cell adhesion molecules	14/148	8.256155088215579E-9	2.741043489287572E-8	0	0	8.361194029850747	155.6211088614034	CD86;CD274;VCAM1;CD80;ICAM2;PDCD1LG2;SELE;VSIR;ICAM1;CD40LG;SELL;PDCD1;ICOSLG;CD276
HIF-1 signaling pathway	12/109	1.7767038675472596E-8	5.782996902212649E-8	0	0	9.838807963604491	175.58258823665523	IL6;FLT1;IFNG;ANGPT1;EGF;IGF1;TIMP1;LTBR;TEK;IL6R;EGFR;VEGFA
Kaposi sarcoma-associated herpesvirus infection	15/193	3.479368413688107E-8	1.1107214551388958E-7	0	0	6.756423834960398	116.03367405874019	CD86;CSF2;CXCL8;IFNB1;IFNA2;PDGFB;CXCL1;CXCL3;FGF2;ICAM1;VEGFA;TNFRSF1A;IL6;FAS;CYCS
C-type lectin receptor signaling pathway	11/104	1.0711499358019457E-7	3.354922440436283E-7	0	0	9.370794311481095	150.39527831518149	IL10;IL6;IL23A;CD209;IL1B;IL12B;IL12A;IL17D;TNF;CCL17;IL2
Cytosolic DNA-sensing pathway	9/63	1.146422062576959E-7	3.5241863405143554E-7	0	0	13.124666666666666	209.75120158684464	IL33;CXCL10;IL6;IFNB1;IL1B;CCL5;IFNA2;CCL4;IL18
Non-alcoholic fatty liver disease	13/155	1.1899962147347455E-7	3.591624939017595E-7	0	0	7.293799381655789	116.29339876934287	TGFB1;CXCL8;ADIPOQ;FASLG;TNF;TNFRSF1A;IL1A;IL6;IL1B;LEP;CYCS;FAS;IL6R
FoxO signaling pathway	12/131	1.398700923189524E-7	4.073409706130895E-7	0	0	8.010886945871466	126.43223784366491	IL10;TGFB2;IL6;TGFB1;TGFB3;EGF;TNFSF10;FASLG;IGF1;TGFBR1;EGFR;TGFBR2
Natural killer cell mediated cytotoxicity	12/131	1.398700923189524E-7	4.073409706130895E-7	0	0	8.010886945871466	126.43223784366491	CSF2;IFNG;IFNB1;IFNA2;ICAM2;TNFSF10;GZMB;FAS;TNFRSF10A;FASLG;TNF;ICAM1
Hippo signaling pathway	13/163	2.1437769031549402E-7	6.135637343512416E-7	0	0	6.901978319783198	105.98351078154138	TGFB2;TGFB1;TGFB3;WNT3A;WNT5A;FGF1;BMP7;AREG;BMP6;TGFBR1;TGFBR2;BMP4;BMP2
Th1 and Th2 cell differentiation	10/92	3.1661907808521456E-7	8.908265586804342E-7	0	0	9.628269174258008	144.09250195295934	IL4;IL4R;IL5;IFNG;IL2RA;IL13;IL12B;IL12A;IL12RB1;IL2
Bladder cancer	7/41	8.694399357659137E-7	2.405450488952361E-6	0	0	16.100490196078432	224.6890479023538	CXCL8;EGF;MMP1;MMP9;FGFR3;EGFR;VEGFA
Necroptosis	12/159	1.140309828021745E-6	3.103138220518191E-6	0	0	6.475749814095678	88.6155239479815	IL1A;IL33;IFNG;IFNB1;IL1B;IFNA2;TNFSF10;FAS;TNFRSF10A;FASLG;TNF;TNFRSF1A
Colorectal cancer	9/86	1.7192309917194326E-6	4.603102332668158E-6	0	0	9.19355844155844	122.03192499188498	TGFB2;TGFB1;EGF;TGFB3;CYCS;AREG;TGFBR1;EGFR;TGFBR2
Focal adhesion	13/201	2.3253761597248457E-6	6.127181627211498E-6	0	0	5.496216052586058	71.29487412481717	FLT1;EGF;HGF;PDGFB;VEGFC;VEGFD;IGF1;EGFR;PGF;VEGFA;KDR;SPP1;MET
Epithelial cell signaling in Helicobacter pylori infection	8/70	3.350173675619384E-6	8.555828156197196E-6	0	0	10.11643747590284	127.5328525502029	ADAM17;CXCL8;CCL5;ADAM10;CXCL1;CXCL3;MET;EGFR
RIG-I-like receptor signaling pathway	8/70	3.350173675619384E-6	8.555828156197196E-6	0	0	10.11643747590284	127.5328525502029	CXCL10;CXCL8;IFNB1;IFNE;IFNA2;IL12B;IL12A;TNF
Regulation of actin cytoskeleton	13/218	5.676600872132589E-6	1.4277511284454694E-5	0	0	5.0360499702558	60.83124299639528	EGF;PDGFB;FGF1;FGF2;EGFR;FGF4;FGF6;FGF7;CXCL12;FGF9;FGF19;FGFR3;FGF21
Pancreatic cancer	8/76	6.258720252464424E-6	1.5506680028493945E-5	0	0	9.220998359503163	110.48171297732061	TGFB2;TGFB1;EGF;TGFB3;TGFBR1;EGFR;TGFBR2;VEGFA
Hepatitis C	11/157	6.571375126383848E-6	1.6041886337937043E-5	0	0	5.952966195315952	71.03548026707684	CXCL10;IFNG;EGF;IFNB1;IFNA2;CYCS;FAS;FASLG;TNF;EGFR;TNFRSF1A
Relaxin signaling pathway	10/129	7.102913711149721E-6	1.7088169218128316E-5	0	0	6.622118727008876	78.50525377305819	TGFB1;MMP13;MMP1;VEGFC;VEGFD;MMP9;TGFBR1;EGFR;TGFBR2;VEGFA
T cell receptor signaling pathway	9/104	8.390241481931268E-6	1.9896858371437006E-5	0	0	7.4448	87.01810746107542	IL4;IL10;CSF2;IL5;CD40LG;IFNG;PDCD1;TNF;IL2
Pathogenic Escherichia coli infection	12/197	1.0517762747219946E-5	2.4590825578007196E-5	0	0	5.135616588248167	58.86672288871908	IL6;CXCL8;IL1R1;IL1B;TNFSF10;IL18;FAS;CYCS;TNFRSF10A;FASLG;TNF;TNFRSF1A
Apoptosis	10/142	1.6564577141446484E-5	3.81905528538905E-5	0	0	5.965985152732141	65.67502055856514	IL3;TNFSF10;CYCS;GZMB;FAS;TNFRSF10A;FASLG;NGF;TNF;TNFRSF1A
NOD-like receptor signaling pathway	11/181	2.5115348482175912E-5	5.711161435672879E-5	0	0	5.106285578747628	54.08593721502889	IL6;CXCL8;IFNB1;IL1B;CCL5;IFNA2;IL18;CCL2;CXCL1;CXCL3;TNF
Renal cell carcinoma	7/69	3.065203375022482E-5	6.875996760185568E-5	0	0	8.816756272401435	91.63088636650228	TGFB2;TGFB1;TGFB3;HGF;PDGFB;MET;VEGFA
Prostate cancer	8/97	3.797404254686244E-5	8.404921417038887E-5	0	0	7.03773669367474	71.63436105931979	PLAU;EGF;IL1R2;MMP3;PDGFB;IGF1;MMP9;EGFR
Hepatocellular carcinoma	10/168	6.985595533671104E-5	1.525801129722899E-4	0	0	4.977632047176046	47.63133546177414	TGFB2;TGFB1;TGFB3;WNT3A;HGF;WNT5A;MET;TGFBR1;EGFR;TGFBR2
Yersinia infection	9/137	7.556035430851828E-5	1.628963482495329E-4	0	0	5.51615625	52.35151570848332	IL10;IL6;CXCL8;IFNB1;IL1B;IL18;CCL2;TNF;IL2
Shigellosis	12/246	9.274451021278678E-5	1.962002945850897E-4	0	0	4.050036333437143	37.60726867161953	CSF2;CXCL8;IL1R1;IFNB1;IL1B;CCL5;IL18;CYCS;CD14;TNF;EGFR;TNFRSF1A
Herpes simplex virus 1 infection	18/498	9.337242935073545E-5	1.962002945850897E-4	0	0	2.99704356846473	27.80931086053274	IFNB1;IFNA2;FASLG;TNF;TNFRSF1A;C5;IL6;IFNG;IL1B;CCL5;LTA;IL12B;FAS;CYCS;CCL2;IL12A;TNFRSF14;TLR2
Cellular senescence	9/156	2.032851857082062E-4	4.2181676034452794E-4	0	0	4.798530612244898	40.79183228428784	IL1A;TGFB2;IL6;TGFB1;CXCL8;TGFB3;IGFBP3;TGFBR1;TGFBR2
Acute myeloid leukemia	6/67	2.2935290654637833E-4	4.700318825518371E-4	0	0	7.6511371735890625	64.11843207726703	CSF1R;IL3;CSF2;FLT3;KIT;CD14
Fc epsilon RI signaling pathway	6/68	2.4885360463380114E-4	5.037768093806218E-4	0	0	7.5273492286115005	62.46680481724625	IL4;IL3;CSF2;IL5;IL13;TNF
Systemic lupus erythematosus	8/135	3.8191697033256505E-4	7.638339406651301E-4	0	0	4.9224205540044546	38.74096255833428	CD86;IL10;C5;CD40LG;IFNG;CD80;TNF;ELANE
Salmonella infection	11/249	4.233197997793749E-4	8.3656055670686E-4	0	0	3.6346740309026835	28.23190395775557	IL6;CXCL8;IL1B;TNFSF10;IL18;CYCS;TNFRSF10A;CD14;TNF;TLR2;TNFRSF1A
Signaling pathways regulating pluripotency of stem cells	8/143	5.608155135999912E-4	0.001095239708912924	0	0	4.628832816880625	34.65199125829346	BMP4;WNT3A;WNT5A;LIF;IGF1;INHBA;FGF2;FGFR3
Complement and coagulation cascades	6/85	8.28303864011977E-4	0.0015988190863487	0	0	5.902436583779457	41.8844601801797	THBD;C5;PLAU;PLAUR;F3;MBL2
PD-L1 expression and PD-1 checkpoint pathway in cancer	6/89	0.0010543519004665642	0.0020117519020396513	0	0	5.616838897090338	38.50247023410595	CD274;IFNG;EGF;PDCD1;EGFR;TLR2
Viral myocarditis	5/60	0.0010707768325814854	0.0020198744796423476	0	0	7.045812455261274	48.18892454773743	CD86;CD40LG;CD80;CYCS;ICAM1
Alzheimer disease	13/369	0.0011049330782096863	0.0020608864155371677	0	0	2.8775577783867727	19.590328491913233	APP;CSF1;WNT3A;WNT5A;ADAM10;TNF;TNFRSF1A;IL1A;ADAM17;IL6;IL1B;FAS;CYCS
Hypertrophic cardiomyopathy	6/90	0.0011176212558592505	0.0020613903163626177	0	0	5.549689440993789	37.718756926394825	TGFB2;IL6;TGFB1;TGFB3;IGF1;TNF
Epstein-Barr virus infection	9/202	0.0013155413198170265	0.002399778671314576	0	0	3.646259067357513	24.18748522217212	CXCL10;IL6;IFNB1;IFNA2;FAS;CYCS;TNF;ICAM1;TLR2
